,Disease,Disease Type,Year,Week,Current Year,Previous Year,Median Previous 5 Years,Cumulative Current Year,Cumulative Previous Year,Cumulative Median Previous 5 Years
68,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,0,1,0,1
69,Pneumococcal Disease (invasive),AIR/DROPLET-BORNE DISEASES,2023,2,3,1,2,5,2,2
70,Rubella,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,0,0,0,0
71,Severe acute respiratory syndrome,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,0,0,0,0
72,Tetanus^,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,0,0,0,0
73,Acute hepatitis B,OTHER DISEASES,2023,2,0,0,1,0,0,2
74,Acute hepatitis C,OTHER DISEASES,2023,2,0,1,0,0,3,0
75,Botulism^,OTHER DISEASES,2023,2,0,0,0,0,2,0
76,Suspect cases tested,MERS-CoV,2023,2,9,0,,28,0,
77,Other patients tested,MERS-CoV,2023,2,4,0,,13,0,
78,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,3,2,0,1,3,1,3
79,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,3,2,0,1,6,3,2
80,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,3,7,2,10,24,2,32
81,Cholera,FOOD/WATER-BORNE DISEASES,2023,3,0,0,0,0,0,0
82,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,3,1,0,0,3,0,1
83,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,3,0,0,0,0,0,0
84,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,3,39,0,26,70,0,73
85,Typhoid,FOOD/WATER-BORNE DISEASES,2023,3,2,2,2,6,4,4
86,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,3,0,0,0,1,0,0
87,Dengue Fever,VECTOR-BORNE DISEASES,2023,3,273,178,178,832,430,510
88,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,3,1,2,2,1,2,2
89,Japanese Encephalitis^,VECTOR-BORNE DISEASES,2023,3,0,0,0,0,0,1
90,Leptospirosis^,VECTOR-BORNE DISEASES,2023,3,2,1,0,6,2,1
91,Malaria,VECTOR-BORNE DISEASES,2023,3,0,0,0,0,0,3
92,Murine Typhus^,VECTOR-BORNE DISEASES,2023,3,1,0,0,1,0,1
93,Nipah virus infection,VECTOR-BORNE DISEASES,2023,3,0,0,0,0,0,0
94,Plague,VECTOR-BORNE DISEASES,2023,3,0,0,0,0,0,0
95,Yellow Fever,VECTOR-BORNE DISEASES,2023,3,0,0,0,0,0,0
96,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,3,0,0,0,0,0,1
97,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,3,0,0,0,0,0,0
98,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,3,0,0,0,0,0,0
99,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,3,0,0,0,0,0,0
100,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,3,0,0,0,0,0,0
101,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,3,0,1,0,0,2,0
102,Measles,AIR/DROPLET-BORNE DISEASES,2023,3,0,0,2,2,0,3
103,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,3,1,1,2,1,2,3
104,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,3,0,0,0,0,0,0
105,Monkeypox,AIR/DROPLET-BORNE DISEASES,2023,3,0,0,,2,0,
106,Mumps,AIR/DROPLET-BORNE DISEASES,2023,3,3,2,7,11,3,25
107,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,3,1,0,0,2,0,2
108,Pneumococcal Disease (invasive),AIR/DROPLET-BORNE DISEASES,2023,3,2,1,2,7,3,5
109,Rubella,AIR/DROPLET-BORNE DISEASES,2023,3,0,0,0,0,0,0
110,Severe acute respiratory syndrome,AIR/DROPLET-BORNE DISEASES,2023,3,0,0,0,0,0,0
111,Tetanus^,AIR/DROPLET-BORNE DISEASES,2023,3,0,0,0,0,0,0
112,Acute hepatitis B,OTHER DISEASES,2023,3,0,1,1,0,1,2
113,Acute hepatitis C,OTHER DISEASES,2023,3,0,0,0,0,3,1
114,Botulism^,OTHER DISEASES,2023,3,0,0,0,0,2,0
115,Suspect cases tested,MERS-CoV,2023,3,8,0,,36,0,
116,Other patients tested,MERS-CoV,2023,3,2,0,,15,0,
117,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,4,3,0,0,6,1,3
118,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,4,5,1,1,11,4,4
119,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,4,4,17,10,28,66,42
120,Cholera,FOOD/WATER-BORNE DISEASES,2023,4,0,0,0,0,0,0
121,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,4,0,0,1,3,0,2
122,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,4,0,0,0,0,0,0
123,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,4,22,15,23,92,73,102
124,Typhoid,FOOD/WATER-BORNE DISEASES,2023,4,2,1,2,8,5,5
125,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,4,0,0,0,1,0,0
126,Dengue Fever,VECTOR-BORNE DISEASES,2023,4,186,169,169,1018,599,645
127,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,4,0,2,1,1,4,4
128,Japanese Encephalitis^,VECTOR-BORNE DISEASES,2023,4,0,0,0,0,0,1
129,Leptospirosis^,VECTOR-BORNE DISEASES,2023,4,1,2,1,7,5,2
130,Malaria,VECTOR-BORNE DISEASES,2023,4,1,0,0,1,0,3
131,Murine Typhus^,VECTOR-BORNE DISEASES,2023,4,0,0,0,1,2,1
132,Nipah virus infection,VECTOR-BORNE DISEASES,2023,4,0,0,0,0,0,0
133,Plague,VECTOR-BORNE DISEASES,2023,4,0,0,0,0,0,0
134,Yellow Fever,VECTOR-BORNE DISEASES,2023,4,0,0,0,0,0,0
135,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,4,0,0,0,0,0,1
136,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,0,0,0,0
137,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,0,0,0,0
138,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,0,0,0,0
139,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,0,0,0,0
140,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,0,0,2,1
141,Measles,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,0,2,0,4
142,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,4,1,2,1,2,4,4
143,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,4,1,1,1,1,1,1
144,Monkeypox,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,,2,0,
145,Mumps,AIR/DROPLET-BORNE DISEASES,2023,4,3,1,6,14,4,33
146,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,0,2,0,2
147,Pneumococcal Disease (invasive),AIR/DROPLET-BORNE DISEASES,2023,4,6,0,0,13,3,7
148,Rubella,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,0,0,0,0
149,Severe acute respiratory syndrome,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,0,0,0,0
150,Tetanus^,AIR/DROPLET-BORNE DISEASES,2023,4,0,0,0,0,0,0
151,Acute hepatitis B,OTHER DISEASES,2023,4,1,1,1,1,2,4
152,Acute hepatitis C,OTHER DISEASES,2023,4,0,0,0,0,2,2
153,Botulism^,OTHER DISEASES,2023,4,0,0,0,0,0,0
154,Suspect cases tested,MERS-CoV,2023,4,8,1,,44,1,
155,Other patients tested,MERS-CoV,2023,4,1,0,,16,0,
156,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,5,0,0,1,6,1,4
157,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,5,1,0,0,10,4,4
158,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,5,13,17,9,41,83,48
159,Cholera,FOOD/WATER-BORNE DISEASES,2023,5,0,0,0,0,0,0
160,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,5,1,0,0,4,0,2
161,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,5,0,0,0,0,0,0
162,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,5,17,16,26,109,89,135
163,Typhoid,FOOD/WATER-BORNE DISEASES,2023,5,2,3,1,10,8,8
164,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,5,1,0,0,2,0,0
165,Dengue Fever,VECTOR-BORNE DISEASES,2023,5,224,153,153,1242,752,786
166,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,5,0,1,0,1,5,5
167,Japanese Encephalitis^,VECTOR-BORNE DISEASES,2023,5,0,0,0,0,0,1
168,Leptospirosis^,VECTOR-BORNE DISEASES,2023,5,0,0,0,7,5,2
169,Malaria,VECTOR-BORNE DISEASES,2023,5,1,1,0,2,1,3
170,Murine Typhus^,VECTOR-BORNE DISEASES,2023,5,0,1,0,1,3,1
171,Nipah virus infection,VECTOR-BORNE DISEASES,2023,5,0,0,0,0,0,0
172,Plague,VECTOR-BORNE DISEASES,2023,5,0,0,0,0,0,0
173,Yellow Fever,VECTOR-BORNE DISEASES,2023,5,0,0,0,0,0,0
174,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,5,0,0,0,0,0,1
175,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,0,0,0,0
176,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,0,0,0,0
177,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,0,0,0,0
178,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,0,0,0,0
179,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,5,1,1,0,1,3,2
180,Measles,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,0,2,0,4
181,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,5,1,1,1,3,5,5
182,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,0,1,1,1
183,Monkeypox,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,,2,0,
184,Mumps,AIR/DROPLET-BORNE DISEASES,2023,5,5,1,5,19,5,38
185,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,0,2,0,2
186,Pneumococcal Disease (invasive),AIR/DROPLET-BORNE DISEASES,2023,5,4,0,2,17,3,11
187,Rubella,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,0,0,0,0
188,Severe acute respiratory syndrome,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,0,0,0,0
189,Tetanus^,AIR/DROPLET-BORNE DISEASES,2023,5,0,0,0,0,0,0
190,Acute hepatitis B,OTHER DISEASES,2023,5,0,1,1,1,3,4
191,Acute hepatitis C,OTHER DISEASES,2023,5,0,0,0,0,2,2
192,Botulism^,OTHER DISEASES,2023,5,0,0,0,0,0,0
193,Suspect cases tested,MERS-CoV,2023,5,8,0,,52,1,
194,Other patients tested,MERS-CoV,2023,5,4,0,,20,0,
195,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,6,1,0,1,7,1,5
196,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,6,1,0,0,11,4,5
197,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,6,10,11,9,48,94,57
198,Cholera,FOOD/WATER-BORNE DISEASES,2023,6,0,0,0,0,0,0
199,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,6,0,2,0,4,2,2
200,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,6,0,0,0,0,0,0
201,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,6,33,23,23,141,112,158
202,Typhoid,FOOD/WATER-BORNE DISEASES,2023,6,3,0,1,13,8,8
203,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,6,0,0,0,2,0,0
204,Dengue Fever,VECTOR-BORNE DISEASES,2023,6,219,168,142,1460,920,928
205,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,6,1,1,1,2,6,6
206,Japanese Encephalitis^,VECTOR-BORNE DISEASES,2023,6,0,0,0,0,0,2
207,Leptospirosis^,VECTOR-BORNE DISEASES,2023,6,1,0,0,8,5,3
208,Malaria,VECTOR-BORNE DISEASES,2023,6,0,0,0,2,1,3
209,Murine Typhus^,VECTOR-BORNE DISEASES,2023,6,0,0,0,1,3,2
210,Nipah virus infection,VECTOR-BORNE DISEASES,2023,6,0,0,0,0,0,0
211,Plague,VECTOR-BORNE DISEASES,2023,6,0,0,0,0,0,0
212,Yellow Fever,VECTOR-BORNE DISEASES,2023,6,0,0,0,0,0,0
213,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,6,0,0,0,0,0,1
214,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,0,0,0,0
215,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,0,0,0,0
216,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,0,0,0,0
217,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,0,0,0,0
218,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,6,2,0,0,3,3,2
219,Measles,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,0,2,0,5
220,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,6,0,1,1,3,6,5
221,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,0,1,1,1
222,Mpox,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,,2,0,
223,Mumps,AIR/DROPLET-BORNE DISEASES,2023,6,3,7,7,22,12,48
224,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,1,2,0,4
225,Pneumococcal Disease (invasive),AIR/DROPLET-BORNE DISEASES,2023,6,2,0,2,19,3,13
226,Rubella,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,0,0,0,0
227,Severe acute respiratory syndrome,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,0,0,0,0
228,Tetanus^,AIR/DROPLET-BORNE DISEASES,2023,6,0,0,0,0,0,0
229,Acute hepatitis B,OTHER DISEASES,2023,6,3,1,1,4,4,5
230,Acute hepatitis C,OTHER DISEASES,2023,6,0,0,0,0,2,2
231,Botulism^,OTHER DISEASES,2023,6,0,0,0,0,0,0
232,Suspect cases tested,MERS-CoV,2023,6,7,0,,59,1,
233,Other patients tested,MERS-CoV,2023,6,2,1,,22,1,
234,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,7,0,0,0,7,1,5
235,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,7,1,0,2,12,4,7
236,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,7,13,12,12,61,106,64
237,Cholera,FOOD/WATER-BORNE DISEASES,2023,7,0,0,0,0,0,0
238,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,7,1,0,0,5,2,2
239,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,7,0,0,0,0,0,0
240,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,7,16,22,22,158,134,171
241,Typhoid,FOOD/WATER-BORNE DISEASES,2023,7,2,0,0,15,8,8
242,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,7,0,0,0,2,0,0
243,Dengue Fever,VECTOR-BORNE DISEASES,2023,7,149,206,206,1609,1126,1126
244,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,7,0,0,0,2,6,6
245,Japanese Encephalitis^,VECTOR-BORNE DISEASES,2023,7,0,0,0,0,0,2
246,Leptospirosis^,VECTOR-BORNE DISEASES,2023,7,1,1,1,9,6,5
247,Malaria,VECTOR-BORNE DISEASES,2023,7,0,0,0,2,1,3
248,Murine Typhus^,VECTOR-BORNE DISEASES,2023,7,0,1,0,1,4,2
249,Nipah virus infection,VECTOR-BORNE DISEASES,2023,7,0,0,0,0,0,0
250,Plague,VECTOR-BORNE DISEASES,2023,7,0,0,0,0,0,0
251,Yellow Fever,VECTOR-BORNE DISEASES,2023,7,0,0,0,0,0,0
252,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,7,0,0,0,0,0,1
253,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,0,0,0,0
254,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,0,0,0,0
255,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,0,0,0,0
256,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,0,0,0,0
257,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,7,1,0,0,4,3,2
258,Measles,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,2,2,0,7
259,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,7,1,0,1,4,6,6
260,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,0,1,1,1
261,Mpox,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,,2,0,
262,Mumps,AIR/DROPLET-BORNE DISEASES,2023,7,3,0,6,25,12,55
263,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,0,2,0,4
264,Pneumococcal Disease (invasive),AIR/DROPLET-BORNE DISEASES,2023,7,1,0,2,20,3,16
265,Rubella,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,0,0,0,0
266,Severe acute respiratory syndrome,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,0,0,0,0
267,Tetanus^,AIR/DROPLET-BORNE DISEASES,2023,7,0,0,0,0,0,0
268,Acute hepatitis B,OTHER DISEASES,2023,7,1,0,1,5,4,6
269,Acute hepatitis C,OTHER DISEASES,2023,7,1,0,0,1,2,2
270,Botulism^,OTHER DISEASES,2023,7,0,0,0,0,0,0
271,Suspect cases tested,MERS-CoV,2023,7,9,0,,68,1,
272,Other patients tested,MERS-CoV,2023,7,0,0,,22,1,
273,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,8,1,0,1,8,1,5
274,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,8,1,0,1,13,4,9
275,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,8,11,13,9,72,119,73
276,Cholera,FOOD/WATER-BORNE DISEASES,2023,8,0,0,0,0,0,0
277,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,8,0,0,0,5,2,3
278,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,8,0,0,0,0,0,0
279,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,8,20,21,21,178,155,185
280,Typhoid,FOOD/WATER-BORNE DISEASES,2023,8,1,0,0,16,8,8
281,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,8,2,0,0,4,0,0
282,Dengue Fever,VECTOR-BORNE DISEASES,2023,8,142,200,181,1748,1326,1326
283,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,8,0,1,1,2,7,7
284,Japanese Encephalitis^,VECTOR-BORNE DISEASES,2023,8,0,0,0,0,0,2
285,Leptospirosis^,VECTOR-BORNE DISEASES,2023,8,1,0,1,10,6,6
286,Malaria,VECTOR-BORNE DISEASES,2023,8,0,0,0,2,1,4
287,Murine Typhus^,VECTOR-BORNE DISEASES,2023,8,0,0,0,1,4,2
288,Nipah virus infection,VECTOR-BORNE DISEASES,2023,8,0,0,0,0,0,0
289,Plague,VECTOR-BORNE DISEASES,2023,8,0,0,0,0,0,0
290,Yellow Fever,VECTOR-BORNE DISEASES,2023,8,0,0,0,0,0,0
291,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,8,0,0,0,0,0,1
292,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,8,0,0,0,0,0,0
293,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,8,0,0,0,0,0,0
294,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,8,0,0,0,0,0,0
295,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,8,0,0,0,0,0,0
296,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,8,2,1,0,6,4,2
297,Measles,AIR/DROPLET-BORNE DISEASES,2023,8,1,0,0,3,0,7
298,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,8,0,1,1,4,7,7
299,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,8,0,0,0,1,1,1
300,Mpox,AIR/DROPLET-BORNE DISEASES,2023,8,0,0,,2,0,
301,Mumps,AIR/DROPLET-BORNE DISEASES,2023,8,4,5,8,29,17,64
302,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,8,0,0,0,2,0,4
303,Pneumococcal Disease (invasive),AIR/DROPLET-BORNE DISEASES,2023,8,3,1,1,23,4,20
304,Rubella,AIR/DROPLET-BORNE DISEASES,2023,8,0,0,0,0,0,0
305,Severe acute respiratory syndrome,AIR/DROPLET-BORNE DISEASES,2023,8,0,0,0,0,0,0
306,Tetanus^,AIR/DROPLET-BORNE DISEASES,2023,8,0,0,0,0,0,0
307,Acute hepatitis B,OTHER DISEASES,2023,8,0,1,0,5,5,6
